 sum | year |                                               instnm                                               
-----+------+----------------------------------------------------------------------------------------------------
     | 2008 | 360 Degrees Beauty Academy
     | 2009 | 360 Degrees Beauty Academy
     | 2008 | 4-States Academy of Cosmetology
     | 2009 | 4-States Academy of Cosmetology
     | 2008 | 4-States Okmulgee Academy of Cosmetology
     | 2009 | 4-States Okmulgee Academy of Cosmetology
     | 2008 | A & W Healthcare Educators
     | 2009 | A & W Healthcare Educators
     | 2010 | A & W Healthcare Educators
     | 2011 | A & W Healthcare Educators
     | 2012 | A & W Healthcare Educators
     | 2006 | A Cut Above Beauty College
     | 2007 | A Cut Above Beauty College
   0 | 2006 | A T Still University of Health Sciences
   0 | 2007 | A T Still University of Health Sciences
   0 | 2008 | A T Still University of Health Sciences
   0 | 2009 | A T Still University of Health Sciences
   0 | 2010 | A T Still University of Health Sciences
   0 | 2011 | A T Still University of Health Sciences
   0 | 2012 | A T Still University of Health Sciences
     | 2008 | A.B.I. School of Barbering & Cosmetology of Chelsea Inc.
     | 2009 | A.B.I. School of Barbering & Cosmetology of Chelsea Inc.
     | 2008 | A.B.I. School of Barbering & Cosmetology of Tribeca Inc.
     | 2009 | A.B.I. School of Barbering & Cosmetology of Tribeca Inc.
     | 2010 | ABC Beauty Academy
     | 2011 | ABC Beauty Academy
     | 2012 | ABC Beauty Academy
     | 2010 | ABC Beauty College Inc
     | 2011 | ABC Beauty College Inc
     | 2012 | ABC Beauty College Inc
     | 2006 | ACT College
     | 2007 | ACT College
     | 2008 | ACT College
     | 2009 | ACT College
     | 2006 | AIB College of Business
     | 2007 | AIB College of Business
     | 2008 | AIB College of Business
     | 2009 | AIB College of Business
     | 2010 | AIB College of Business
     | 2011 | AIB College of Business
     | 2012 | AIB College of Business
     | 2006 | AIB International
     | 2007 | AIB International
     | 2008 | AIB International
     | 2009 | AIB International
   0 | 2010 | AOMA Graduate School of Integrative Medicine
   0 | 2011 | AOMA Graduate School of Integrative Medicine
   0 | 2012 | AOMA Graduate School of Integrative Medicine
     | 2010 | ASA College
     | 2011 | ASA College
     | 2012 | ASA College
     | 2006 | ASA Institute of Business and Computer Technology
     | 2007 | ASA Institute of Business and Computer Technology
   0 | 2008 | ASA Institute of Business and Computer Technology
     | 2009 | ASA Institute of Business and Computer Technology
     | 2010 | ASI Career Institute
     | 2011 | ASI Career Institute
     | 2012 | ASI Career Institute
     | 2006 | ASM Beauty World Academy
     | 2007 | ASM Beauty World Academy
     | 2008 | ASM Beauty World Academy
     | 2009 | ASM Beauty World Academy
     | 2010 | ASM Beauty World Academy
     | 2011 | ASM Beauty World Academy
     | 2012 | ASM Beauty World Academy
   0 | 2008 | ASPIRA de Puerto Rico
     | 2009 | ASPIRA de Puerto Rico
   0 | 2008 | ATA Career Education
     | 2009 | ATA Career Education
     | 2010 | ATA Career Education
     | 2011 | ATA Career Education
     | 2012 | ATA Career Education
     | 2010 | ATA College
     | 2011 | ATA College
     | 2012 | ATA College
     | 2006 | ATI Career Training Center
     | 2007 | ATI Career Training Center
     | 2008 | ATI Career Training Center
   0 | 2009 | ATI Career Training Center
     | 2006 | ATI College
     | 2007 | ATI College
     | 2008 | ATI College
     | 2009 | ATI College
     | 2006 | ATI College of Health
     | 2007 | ATI College of Health
     | 2008 | ATI College of Health
     | 2009 | ATI College of Health
     | 2010 | ATI College-Norwalk
     | 2011 | ATI College-Norwalk
     | 2012 | ATI College-Norwalk
     | 2010 | ATI College-Santa Ana
     | 2011 | ATI College-Santa Ana
     | 2012 | ATI College-Santa Ana
     | 2008 | ATI College-SantaAna
     | 2009 | ATI College-SantaAna
     | 2006 | ATI Technical Training Center
     | 2007 | ATI Technical Training Center
     | 2008 | ATI Technical Training Center
   0 | 2009 | ATI Technical Training Center
     | 2006 | ATS Institute of Technology
     | 2007 | ATS Institute of Technology
     | 2008 | ATS Institute of Technology
     | 2009 | ATS Institute of Technology
     | 2010 | ATS Institute of Technology
   0 | 2011 | ATS Institute of Technology
     | 2012 | ATS Institute of Technology
     | 2010 | AVTEC-Alaska's Institute of Technology
   0 | 2011 | AVTEC-Alaska's Institute of Technology
     | 2012 | AVTEC-Alaska's Institute of Technology
     | 2010 | Aaniiih Nakoda College
     | 2011 | Aaniiih Nakoda College
     | 2012 | Aaniiih Nakoda College
     | 2006 | Aaron's Academy of Beauty
     | 2007 | Aaron's Academy of Beauty
     | 2008 | Aaron's Academy of Beauty
     | 2009 | Aaron's Academy of Beauty
     | 2010 | Aaron's Academy of Beauty
     | 2011 | Aaron's Academy of Beauty
     | 2012 | Aaron's Academy of Beauty
     | 2010 | Abcott Institute
     | 2011 | Abcott Institute
     | 2012 | Abcott Institute
     | 2006 | Abdill Career College Inc
     | 2007 | Abdill Career College Inc
     | 2008 | Abdill Career College Inc
     | 2009 | Abdill Career College Inc
     | 2010 | Abdill Career College Inc
     | 2011 | Abdill Career College Inc
     | 2012 | Abdill Career College Inc
   3 | 2006 | Abilene Christian University
   1 | 2007 | Abilene Christian University
   0 | 2008 | Abilene Christian University
   0 | 2009 | Abilene Christian University
   0 | 2010 | Abilene Christian University
   0 | 2011 | Abilene Christian University
   0 | 2012 | Abilene Christian University
   1 | 2006 | Abington Memorial Hospital Dixon School of Nursing
   0 | 2007 | Abington Memorial Hospital Dixon School of Nursing
   0 | 2008 | Abington Memorial Hospital Dixon School of Nursing
   0 | 2009 | Abington Memorial Hospital Dixon School of Nursing
   0 | 2010 | Abington Memorial Hospital Dixon School of Nursing
   0 | 2011 | Abington Memorial Hospital Dixon School of Nursing
   0 | 2012 | Abington Memorial Hospital Dixon School of Nursing
     | 2006 | Abraham Baldwin Agricultural College
     | 2007 | Abraham Baldwin Agricultural College
     | 2008 | Abraham Baldwin Agricultural College
   0 | 2009 | Abraham Baldwin Agricultural College
   0 | 2010 | Abraham Baldwin Agricultural College
   0 | 2011 | Abraham Baldwin Agricultural College
   0 | 2012 | Abraham Baldwin Agricultural College
     | 2006 | Abram Friedman Occupational Center
     | 2007 | Abram Friedman Occupational Center
     | 2008 | Abram Friedman Occupational Center
     | 2009 | Abram Friedman Occupational Center
     | 2006 | Academia Serrant Inc
     | 2007 | Academia Serrant Inc
     | 2008 | Academia Serrant Inc
     | 2009 | Academia Serrant Inc
     | 2010 | Academia Serrant Inc
     | 2011 | Academia Serrant Inc
     | 2012 | Academia Serrant Inc
   0 | 2006 | Academy College
   0 | 2007 | Academy College
   0 | 2008 | Academy College
   0 | 2009 | Academy College
   0 | 2010 | Academy College
   0 | 2011 | Academy College
   0 | 2012 | Academy College
     | 2008 | Academy Di Capelli-School of Cosmetology
     | 2009 | Academy Di Capelli-School of Cosmetology
     | 2010 | Academy Di Capelli-School of Cosmetology
     | 2011 | Academy Di Capelli-School of Cosmetology
     | 2012 | Academy Di Capelli-School of Cosmetology
     | 2008 | Academy at Austin
     | 2009 | Academy at Austin
     | 2010 | Academy for Careers and Technology
     | 2011 | Academy for Careers and Technology
     | 2012 | Academy for Careers and Technology
     | 2008 | Academy for Five Element Acupuncture
     | 2009 | Academy for Five Element Acupuncture
     | 2010 | Academy for Five Element Acupuncture
     | 2011 | Academy for Five Element Acupuncture
     | 2012 | Academy for Five Element Acupuncture
     | 2008 | Academy for Jewish Religion - California
     | 2009 | Academy for Jewish Religion - California
     | 2010 | Academy for Jewish Religion-California
     | 2011 | Academy for Jewish Religion-California
     | 2012 | Academy for Jewish Religion-California
   0 | 2010 | Academy for Nursing and Health Occupations
   0 | 2011 | Academy for Nursing and Health Occupations
   0 | 2012 | Academy for Nursing and Health Occupations
   0 | 2006 | Academy for Practical Nursing & Health Occupations
   0 | 2007 | Academy for Practical Nursing & Health Occupations
   0 | 2008 | Academy for Practical Nursing & Health Occupations
   0 | 2009 | Academy for Practical Nursing & Health Occupations
     | 2010 | Academy for Salon Professionals
     | 2011 | Academy for Salon Professionals
     | 2012 | Academy for Salon Professionals
     | 2010 | Academy for Salon Professionals (The)
     | 2011 | Academy for Salon Professionals (The)
     | 2012 | Academy for Salon Professionals (The)
     | 2010 | Academy of Aesthetic Arts
     | 2011 | Academy of Aesthetic Arts
     | 2012 | Academy of Aesthetic Arts
   0 | 2006 | Academy of Art University
   5 | 2007 | Academy of Art University
   4 | 2008 | Academy of Art University
   2 | 2009 | Academy of Art University
   6 | 2010 | Academy of Art University
   2 | 2011 | Academy of Art University
   0 | 2012 | Academy of Art University
     | 2008 | Academy of Barbering Arts
     | 2009 | Academy of Barbering Arts
     | 2008 | Academy of Career Training
     | 2009 | Academy of Career Training
     | 2010 | Academy of Career Training
     | 2011 | Academy of Career Training
     | 2012 | Academy of Career Training
     | 2006 | Academy of Careers and Technology
     | 2007 | Academy of Careers and Technology
     | 2008 | Academy of Careers and Technology
     | 2009 | Academy of Careers and Technology
     | 2010 | Academy of Careers and Technology
     | 2011 | Academy of Careers and Technology
     | 2012 | Academy of Careers and Technology
     | 2006 | Academy of Chinese Culture and Health Sciences
     | 2007 | Academy of Chinese Culture and Health Sciences
     | 2008 | Academy of Chinese Culture and Health Sciences
     | 2009 | Academy of Chinese Culture and Health Sciences
     | 2010 | Academy of Chinese Culture and Health Sciences
     | 2011 | Academy of Chinese Culture and Health Sciences
     | 2012 | Academy of Chinese Culture and Health Sciences
     | 2006 | Academy of Cosmetology
     | 2007 | Academy of Cosmetology
     | 2008 | Academy of Cosmetology
     | 2009 | Academy of Cosmetology
     | 2010 | Academy of Cosmetology
     | 2011 | Academy of Cosmetology
     | 2012 | Academy of Cosmetology
     | 2006 | Academy of Cosmetology Inc
     | 2007 | Academy of Cosmetology Inc
     | 2008 | Academy of Cosmetology Inc
     | 2009 | Academy of Cosmetology Inc
     | 2010 | Academy of Cosmetology Inc
     | 2011 | Academy of Cosmetology Inc
     | 2012 | Academy of Cosmetology Inc
     | 2008 | Academy of Cosmetology and Esthetics NYC
     | 2009 | Academy of Cosmetology and Esthetics NYC
     | 2010 | Academy of Cosmetology and Esthetics NYC
     | 2011 | Academy of Cosmetology and Esthetics NYC
     | 2012 | Academy of Cosmetology and Esthetics NYC
     | 2006 | Academy of Cosmetology-Palm Bay
     | 2007 | Academy of Cosmetology-Palm Bay
     | 2008 | Academy of Cosmetology-Palm Bay
     | 2009 | Academy of Cosmetology-Palm Bay
     | 2006 | Academy of Court Reporting Inc-Pittsburgh
     | 2007 | Academy of Court Reporting Inc-Pittsburgh
     | 2008 | Academy of Court Reporting Inc-Pittsburgh
     | 2009 | Academy of Court Reporting Inc-Pittsburgh
     | 2006 | Academy of Court Reporting-Akron
     | 2007 | Academy of Court Reporting-Akron
     | 2006 | Academy of Court Reporting-Cincinnati
     | 2007 | Academy of Court Reporting-Cincinnati
     | 2006 | Academy of Court Reporting-Clawson
     | 2007 | Academy of Court Reporting-Clawson
     | 2008 | Academy of Court Reporting-Clawson
     | 2009 | Academy of Court Reporting-Clawson
     | 2006 | Academy of Court Reporting-Cleveland
     | 2007 | Academy of Court Reporting-Cleveland
     | 2008 | Academy of Court Reporting-Cleveland
     | 2009 | Academy of Court Reporting-Cleveland
     | 2006 | Academy of Court Reporting-Columbus
     | 2007 | Academy of Court Reporting-Columbus
     | 2008 | Academy of Court Reporting-Columbus
   0 | 2009 | Academy of Court Reporting-Columbus
     | 2010 | Academy of Couture Art
     | 2011 | Academy of Couture Art
     | 2012 | Academy of Couture Art
     | 2006 | Academy of Creative Hair Design
     | 2007 | Academy of Creative Hair Design
     | 2008 | Academy of Creative Hair Design
     | 2009 | Academy of Creative Hair Design
     | 2008 | Academy of Esthetics and Cosmetology
     | 2009 | Academy of Esthetics and Cosmetology
     | 2010 | Academy of Esthetics and Cosmetology
     | 2011 | Academy of Esthetics and Cosmetology
     | 2012 | Academy of Esthetics and Cosmetology
     | 2006 | Academy of Hair Design
     | 2007 | Academy of Hair Design
     | 2008 | Academy of Hair Design
     | 2009 | Academy of Hair Design
     | 2010 | Academy of Hair Design
     | 2011 | Academy of Hair Design
     | 2012 | Academy of Hair Design
     | 2006 | Academy of Hair Design Four
     | 2007 | Academy of Hair Design Four
     | 2008 | Academy of Hair Design Four
     | 2009 | Academy of Hair Design Four
     | 2010 | Academy of Hair Design Four
     | 2011 | Academy of Hair Design Four
     | 2012 | Academy of Hair Design Four
     | 2006 | Academy of Hair Design Inc
     | 2007 | Academy of Hair Design Inc
     | 2008 | Academy of Hair Design Inc
     | 2009 | Academy of Hair Design Inc
     | 2010 | Academy of Hair Design Inc
     | 2011 | Academy of Hair Design Inc
     | 2012 | Academy of Hair Design Inc
     | 2006 | Academy of Hair Design One
     | 2007 | Academy of Hair Design One
     | 2008 | Academy of Hair Design One
     | 2009 | Academy of Hair Design One
     | 2010 | Academy of Hair Design One
     | 2011 | Academy of Hair Design One
   0 | 2012 | Academy of Hair Design One
     | 2006 | Academy of Hair Design Three
     | 2007 | Academy of Hair Design Three
     | 2008 | Academy of Hair Design Three
     | 2009 | Academy of Hair Design Three
     | 2010 | Academy of Hair Design Three
     | 2011 | Academy of Hair Design Three
     | 2012 | Academy of Hair Design Three
     | 2006 | Academy of Hair Design-Poway
     | 2007 | Academy of Hair Design-Poway
     | 2008 | Academy of Hair Design-Poway
     | 2009 | Academy of Hair Design-Poway
     | 2006 | Academy of Hair Technology
     | 2007 | Academy of Hair Technology
     | 2008 | Academy of Hair Technology
     | 2009 | Academy of Hair Technology
     | 2010 | Academy of Hair Technology
     | 2011 | Academy of Hair Technology
     | 2012 | Academy of Hair Technology
     | 2008 | Academy of Healing Arts
     | 2009 | Academy of Healing Arts
     | 2006 | Academy of Healing Arts Massage & Facial Skin Care
     | 2007 | Academy of Healing Arts Massage & Facial Skin Care
     | 2008 | Academy of Healing Arts Massage & Facial Skin Care
     | 2009 | Academy of Healing Arts Massage & Facial Skin Care
     | 2010 | Academy of Healing Arts Massage & Facial Skin Care
     | 2011 | Academy of Healing Arts Massage & Facial Skin Care
     | 2012 | Academy of Healing Arts Massage & Facial Skin Care
     | 2006 | Academy of Health Care Professions
     | 2007 | Academy of Health Care Professions
     | 2008 | Academy of Health Care Professions
     | 2009 | Academy of Health Care Professions
     | 2006 | Academy of Massage Therapy
     | 2007 | Academy of Massage Therapy
     | 2008 | Academy of Massage Therapy
     | 2009 | Academy of Massage Therapy
     | 2010 | Academy of Massage Therapy
     | 2011 | Academy of Massage Therapy
     | 2012 | Academy of Massage Therapy
     | 2008 | Academy of Massage and Bodywork
     | 2009 | Academy of Massage and Bodywork
     | 2010 | Academy of Massage and Bodywork
     | 2011 | Academy of Massage and Bodywork
     | 2012 | Academy of Massage and Bodywork
     | 2006 | Academy of Nail Skin and Hair Inc
     | 2007 | Academy of Nail Skin and Hair Inc
     | 2008 | Academy of Natural Therapy
     | 2009 | Academy of Natural Therapy
     | 2010 | Academy of Natural Therapy Inc
     | 2011 | Academy of Natural Therapy Inc
     | 2012 | Academy of Natural Therapy Inc
     | 2006 | Academy of Oriental Medicine
     | 2007 | Academy of Oriental Medicine
     | 2008 | Academy of Oriental Medicine
     | 2009 | Academy of Oriental Medicine
     | 2010 | Academy of Salon and Spa
     | 2011 | Academy of Salon and Spa
     | 2012 | Academy of Salon and Spa
     | 2008 | Academy of Somatic Healing Arts
     | 2009 | Academy of Somatic Healing Arts
     | 2006 | Academy of Vocal Arts
     | 2007 | Academy of Vocal Arts
     | 2008 | Academy of Vocal Arts
     | 2009 | Academy of Vocal Arts
     | 2010 | Academy of Vocal Arts
     | 2011 | Academy of Vocal Arts
     | 2012 | Academy of Vocal Arts
     | 2010 | Acadiana Technical College-Lafayette Campus
   0 | 2011 | Acadiana Technical College-Lafayette Campus
     | 2012 | Acadiana Technical College-Lafayette Campus
     | 2010 | Acaydia School of Aesthetics
     | 2011 | Acaydia School of Aesthetics
     | 2012 | Acaydia School of Aesthetics
     | 2010 | Access Careers
     | 2011 | Access Careers
     | 2012 | Access Careers
     | 2008 | Ace Computer Training Center
     | 2009 | Ace Computer Training Center
     | 2010 | Ace Computer Training Center
     | 2011 | Ace Computer Training Center
     | 2012 | Ace Computer Training Center
     | 2006 | Acupuncture and Integrative Medicine College-Berkeley
     | 2007 | Acupuncture and Integrative Medicine College-Berkeley
     | 2008 | Acupuncture and Integrative Medicine College-Berkeley
     | 2009 | Acupuncture and Integrative Medicine College-Berkeley
     | 2010 | Acupuncture and Integrative Medicine College-Berkeley
     | 2011 | Acupuncture and Integrative Medicine College-Berkeley
     | 2012 | Acupuncture and Integrative Medicine College-Berkeley
     | 2006 | Acupuncture and Massage College
     | 2007 | Acupuncture and Massage College
     | 2008 | Acupuncture and Massage College
     | 2009 | Acupuncture and Massage College
     | 2010 | Acupuncture and Massage College
     | 2011 | Acupuncture and Massage College
     | 2012 | Acupuncture and Massage College
     | 2006 | Adams State College
     | 2007 | Adams State College
   2 | 2008 | Adams State College
   2 | 2009 | Adams State College
   1 | 2010 | Adams State University
   2 | 2011 | Adams State University
   0 | 2012 | Adams State University
     | 2006 | Adelante Career Institute
     | 2007 | Adelante Career Institute
     | 2008 | Adelante Career Institute
     | 2009 | Adelante Career Institute
   2 | 2006 | Adelphi University
   1 | 2007 | Adelphi University
   1 | 2008 | Adelphi University
   1 | 2009 | Adelphi University
   1 | 2010 | Adelphi University
   1 | 2011 | Adelphi University
     | 2012 | Adelphi University
     | 2006 | Adirondack Beauty School
     | 2007 | Adirondack Beauty School
     | 2008 | Adirondack Beauty School
     | 2009 | Adirondack Beauty School
     | 2010 | Adirondack Beauty School
     | 2011 | Adirondack Beauty School
     | 2012 | Adirondack Beauty School
   0 | 2006 | Adirondack Community College
   0 | 2007 | Adirondack Community College
   0 | 2008 | Adirondack Community College
   0 | 2009 | Adirondack Community College
   1 | 2010 | Adirondack Community College
   0 | 2011 | Adirondack Community College
   0 | 2012 | Adirondack Community College
     | 2006 | Adler Graduate School
     | 2007 | Adler Graduate School
     | 2008 | Adler Graduate School
     | 2009 | Adler Graduate School
     | 2010 | Adler Graduate School
     | 2011 | Adler Graduate School
     | 2012 | Adler Graduate School
     | 2006 | Adler School of Professional Psychology
     | 2007 | Adler School of Professional Psychology
     | 2008 | Adler School of Professional Psychology
     | 2009 | Adler School of Professional Psychology
     | 2010 | Adler School of Professional Psychology
     | 2011 | Adler School of Professional Psychology
     | 2012 | Adler School of Professional Psychology
   1 | 2006 | Adrian College
   0 | 2007 | Adrian College
   1 | 2008 | Adrian College
   0 | 2009 | Adrian College
     | 2010 | Adrian College
     | 2011 | Adrian College
     | 2012 | Adrian College
     | 2008 | Adrians Beauty College of Turlock
     | 2009 | Adrians Beauty College of Turlock
     | 2010 | Adrians Beauty College of Turlock
     | 2011 | Adrians Beauty College of Turlock
     | 2012 | Adrians Beauty College of Turlock
     | 2006 | Adult & Continuing Education-BCTS
     | 2007 | Adult & Continuing Education-BCTS
     | 2008 | Adult & Continuing Education-BCTS
     | 2009 | Adult & Continuing Education-BCTS
     | 2010 | Adult & Continuing Education-BCTS
     | 2011 | Adult & Continuing Education-BCTS
   0 | 2012 | Adult & Continuing Education-BCTS
     | 2006 | Adult Center for Education
     | 2007 | Adult Center for Education
     | 2008 | Adult Center for Education
     | 2009 | Adult Center for Education
     | 2010 | Adult Center for Education
     | 2011 | Adult Center for Education
     | 2012 | Adult Center for Education
     | 2006 | Adult and Community Education-Hudson
     | 2007 | Adult and Community Education-Hudson
     | 2008 | Adult and Community Education-Hudson
     | 2009 | Adult and Community Education-Hudson
     | 2010 | Adult and Community Education-Hudson
     | 2011 | Adult and Community Education-Hudson
     | 2012 | Adult and Community Education-Hudson
     | 2006 | Advance Beauty College
     | 2007 | Advance Beauty College
     | 2008 | Advance Beauty College
     | 2009 | Advance Beauty College
     | 2010 | Advance Beauty College
     | 2011 | Advance Beauty College
     | 2012 | Advance Beauty College
     | 2006 | Advance Science Institute
     | 2007 | Advance Science Institute
     | 2008 | Advance Science Institute
     | 2009 | Advance Science Institute
   0 | 2010 | Advance Science Institute
     | 2011 | Advance Science Institute
     | 2012 | Advance Science Institute
     | 2006 | Advanced Barber College and Hair Design
     | 2007 | Advanced Barber College and Hair Design
     | 2008 | Advanced Barber College and Hair Design
     | 2009 | Advanced Barber College and Hair Design
     | 2010 | Advanced Barber College and Hair Design
     | 2011 | Advanced Barber College and Hair Design
     | 2012 | Advanced Barber College and Hair Design
     | 2008 | Advanced Beauty College
     | 2009 | Advanced Beauty College
     | 2010 | Advanced Beauty College
     | 2011 | Advanced Beauty College
   0 | 2012 | Advanced Beauty College
     | 2006 | Advanced Career Training-Atlanta Campus
     | 2007 | Advanced Career Training-Atlanta Campus
     | 2008 | Advanced Career Training-Atlanta Campus
     | 2009 | Advanced Career Training-Atlanta Campus
     | 2006 | Advanced College
     | 2007 | Advanced College
     | 2008 | Advanced College
     | 2009 | Advanced College
     | 2010 | Advanced College
     | 2011 | Advanced College
     | 2012 | Advanced College
     | 2010 | Advanced College of Cosmetology
     | 2011 | Advanced College of Cosmetology
     | 2012 | Advanced College of Cosmetology
     | 2006 | Advanced Institute of Hair Design
     | 2007 | Advanced Institute of Hair Design
     | 2008 | Advanced Institute of Hair Design
     | 2009 | Advanced Institute of Hair Design
     | 2010 | Advanced Institute of Hair Design
     | 2011 | Advanced Institute of Hair Design
     | 2012 | Advanced Institute of Hair Design
     | 2006 | Advanced Tech College
     | 2007 | Advanced Tech College
     | 2008 | Advanced Tech College
     | 2009 | Advanced Tech College
     | 2010 | Advanced Tech College
     | 2011 | Advanced Tech College
     | 2012 | Advanced Tech College
     | 2006 | Advanced Technical Centers
     | 2007 | Advanced Technical Centers
     | 2008 | Advanced Technical Centers
     | 2009 | Advanced Technical Centers
     | 2010 | Advanced Technical Centers
     | 2011 | Advanced Technical Centers
     | 2012 | Advanced Technical Centers
   0 | 2006 | Advanced Technology Institute
     | 2007 | Advanced Technology Institute
     | 2008 | Advanced Technology Institute
     | 2009 | Advanced Technology Institute
     | 2010 | Advanced Technology Institute
     | 2011 | Advanced Technology Institute
   3 | 2012 | Advanced Technology Institute
     | 2006 | Advanced Training Associates
     | 2007 | Advanced Training Associates
     | 2008 | Advanced Training Associates
     | 2009 | Advanced Training Associates
     | 2010 | Advanced Training Associates
     | 2011 | Advanced Training Associates
     | 2012 | Advanced Training Associates
     | 2010 | Advanced Training Institute
     | 2011 | Advanced Training Institute
     | 2012 | Advanced Training Institute
     | 2008 | Advanced Welding Institute
     | 2009 | Advanced Welding Institute
     | 2010 | Advanced Welding Institute
     | 2011 | Advanced Welding Institute
     | 2012 | Advanced Welding Institute
     | 2010 | Adventist University of Health Sciences
   0 | 2011 | Adventist University of Health Sciences
     | 2012 | Adventist University of Health Sciences
     | 2006 | Advocate Trinity Hospital School of Radiologic Technology
     | 2007 | Advocate Trinity Hospital School of Radiologic Technology
     | 2010 | Aerosim Flight Academy
   0 | 2011 | Aerosim Flight Academy
   0 | 2012 | Aerosim Flight Academy
     | 2010 | Aesthetic Science Institute (The)
     | 2011 | Aesthetic Science Institute (The)
     | 2012 | Aesthetic Science Institute (The)
     | 2006 | Aesthetics Institute of Cosmetology
     | 2007 | Aesthetics Institute of Cosmetology
     | 2008 | Aesthetics Institute of Cosmetology
     | 2009 | Aesthetics Institute of Cosmetology
     | 2010 | Aesthetics Institute of Cosmetology
     | 2011 | Aesthetics Institute of Cosmetology
     | 2012 | Aesthetics Institute of Cosmetology
   0 | 2006 | Affinity Health System Program in Radiologic Technology
   0 | 2007 | Affinity Health System Program in Radiologic Technology
   0 | 2008 | Affinity Health System Program in Radiologic Technology
   0 | 2009 | Affinity Health System Program in Radiologic Technology
     | 2006 | Agnes Scott College
     | 2007 | Agnes Scott College
     | 2008 | Agnes Scott College
     | 2009 | Agnes Scott College
     | 2010 | Agnes Scott College
     | 2011 | Agnes Scott College
     | 2012 | Agnes Scott College
     | 2006 | Aguadilla Technical College
     | 2007 | Aguadilla Technical College
     | 2008 | Aguadilla Technical College
     | 2009 | Aguadilla Technical College
   0 | 2006 | Ai Miami International University of Art and Design
   0 | 2007 | Ai Miami International University of Art and Design
   0 | 2008 | Ai Miami International University of Art and Design
   0 | 2009 | Ai Miami International University of Art and Design
   0 | 2010 | Ai Miami International University of Art and Design
   2 | 2011 | Ai Miami International University of Art and Design
   0 | 2012 | Ai Miami International University of Art and Design
     | 2008 | Aiken School of Cosmetology
     | 2009 | Aiken School of Cosmetology
     | 2010 | Aiken School of Cosmetology
     | 2011 | Aiken School of Cosmetology
     | 2012 | Aiken School of Cosmetology
     | 2006 | Aiken Technical College
     | 2007 | Aiken Technical College
     | 2008 | Aiken Technical College
     | 2009 | Aiken Technical College
     | 2010 | Aiken Technical College
     | 2011 | Aiken Technical College
     | 2012 | Aiken Technical College
     | 2006 | Ailano School of Cosmetology
     | 2007 | Ailano School of Cosmetology
     | 2008 | Ailano School of Cosmetology
     | 2009 | Ailano School of Cosmetology
     | 2010 | Ailano School of Cosmetology
     | 2011 | Ailano School of Cosmetology
     | 2012 | Ailano School of Cosmetology
     | 2006 | Aims Academy
     | 2007 | Aims Academy
     | 2006 | Aims Community College
     | 2007 | Aims Community College
     | 2008 | Aims Community College
   0 | 2009 | Aims Community College
   0 | 2010 | Aims Community College
     | 2011 | Aims Community College
   0 | 2012 | Aims Community College
     | 2006 | Akron Adult Vocational Services
     | 2007 | Akron Adult Vocational Services
     | 2008 | Akron Institute of Herzing College
     | 2009 | Akron Institute of Herzing College
     | 2010 | Akron Institute of Herzing University
     | 2011 | Akron Institute of Herzing University
     | 2012 | Akron Institute of Herzing University
     | 2006 | Akron Institute-A Division of Herzing Ohio Inc
     | 2007 | Akron Institute-A Division of Herzing Ohio Inc
     | 2006 | Akron School of Practical Nursing
     | 2007 | Akron School of Practical Nursing
     | 2008 | Akron School of Practical Nursing
     | 2009 | Akron School of Practical Nursing
     | 2010 | Akron School of Practical Nursing
     | 2011 | Akron School of Practical Nursing
     | 2012 | Akron School of Practical Nursing
     | 2006 | Alabama A & M University
   0 | 2007 | Alabama A & M University
   1 | 2008 | Alabama A & M University
   7 | 2009 | Alabama A & M University
   5 | 2010 | Alabama A & M University
     | 2011 | Alabama A & M University
   2 | 2012 | Alabama A & M University
   0 | 2006 | Alabama Southern Community College
   0 | 2007 | Alabama Southern Community College
   0 | 2008 | Alabama Southern Community College
   0 | 2009 | Alabama Southern Community College
     | 2010 | Alabama Southern Community College
     | 2011 | Alabama Southern Community College
     | 2012 | Alabama Southern Community College
     | 2006 | Alabama State College of Barber Styling
     | 2007 | Alabama State College of Barber Styling
     | 2008 | Alabama State College of Barber Styling
     | 2009 | Alabama State College of Barber Styling
     | 2010 | Alabama State College of Barber Styling
     | 2011 | Alabama State College of Barber Styling
     | 2012 | Alabama State College of Barber Styling
   0 | 2006 | Alabama State University
   2 | 2007 | Alabama State University
     | 2008 | Alabama State University
   0 | 2009 | Alabama State University
   0 | 2010 | Alabama State University
   1 | 2011 | Alabama State University
   1 | 2012 | Alabama State University
   0 | 2006 | Alamance Community College
     | 2007 | Alamance Community College
     | 2008 | Alamance Community College
     | 2009 | Alamance Community College
     | 2010 | Alamance Community College
     | 2011 | Alamance Community College
     | 2012 | Alamance Community College
     | 2006 | Alameda Beauty College
     | 2007 | Alameda Beauty College
     | 2008 | Alameda Beauty College
     | 2009 | Alameda Beauty College
     | 2010 | Alameda Beauty College
     | 2011 | Alameda Beauty College
     | 2012 | Alameda Beauty College
     | 2010 | Alaska Bible College
     | 2011 | Alaska Bible College
   0 | 2012 | Alaska Bible College
     | 2010 | Alaska Career College
     | 2011 | Alaska Career College
     | 2012 | Alaska Career College
     | 2008 | Alaska Christian College
     | 2009 | Alaska Christian College
     | 2010 | Alaska Christian College
     | 2011 | Alaska Christian College
     | 2012 | Alaska Christian College
   0 | 2006 | Alaska Pacific University
   0 | 2007 | Alaska Pacific University
   0 | 2008 | Alaska Pacific University
